Tiempo (ms),Voltaje (V)
9880.0,0.14
9920.0,0.13
9960.0,0.12
10000.0,0.11
10040.0,0.1
10080.0,0.09
10120.0,0.08
10160.0,0.07
10200.0,0.06
10240.0,0.06
10280.0,0.05
10320.0,0.04
10360.0,0.04
10400.0,0.03
10440.0,0.02
10480.0,0.02
10520.0,0.01
10560.0,0.01
10600.0,0.0
10640.0,0.0
10680.0,0.0
10720.0,0.0
10760.0,0.0
10800.0,0.0
10840.0,0.0
10880.0,0.0
10920.0,0.0
10960.0,0.0
11000.0,0.0
11040.0,0.0
11080.0,0.0
11120.0,0.0
11160.0,0.0
11200.0,0.0
11240.0,0.0
11280.0,0.0
11320.0,0.0
11360.0,0.0
11400.0,0.0
11440.0,0.0
11480.0,0.0
11520.0,0.0
11560.0,0.0
11600.0,0.0
11640.0,0.0
11680.0,0.0
11720.0,0.0
11760.0,0.0
11800.0,0.0
11840.0,0.0
11880.0,0.0
11920.0,0.0
11960.0,0.0
12000.0,0.0
12040.0,0.03
12080.0,0.11
12120.0,0.19
12160.0,0.29
12200.0,0.36
12240.0,0.44
12280.0,0.51
12320.0,0.58
12360.0,0.64
12400.0,0.7
12440.0,0.76
12480.0,0.82
12520.0,0.88
12560.0,0.93
12600.0,0.98
12640.0,1.02
12680.0,1.07
12720.0,1.11
12760.0,1.15
12800.0,1.18
12840.0,1.22
12880.0,1.26
12920.0,1.29
12960.0,1.33
13000.0,1.35
13040.0,1.38
13080.0,1.41
13120.0,1.43
13160.0,1.46
13200.0,1.48
13240.0,1.51
13280.0,1.53
13320.0,1.55
13360.0,1.57
13400.0,1.58
13440.0,1.6
13480.0,1.62
13520.0,1.63
13560.0,1.65
13600.0,1.67
13640.0,1.68
13680.0,1.69
13720.0,1.7
13760.0,1.72
13800.0,1.74
13840.0,1.74
13880.0,1.75
13920.0,1.76
13960.0,1.77
14000.0,1.78
14040.0,1.78
14080.0,1.79
14120.0,1.81
14160.0,1.81
14200.0,1.82
14240.0,1.83
14280.0,1.83
14320.0,1.84
14360.0,1.83
14400.0,1.85
14440.0,1.85
14480.0,1.86
14520.0,1.87
14560.0,1.87
14600.0,1.87
14640.0,1.88
14680.0,1.88
14720.0,1.89
14760.0,1.89
14800.0,1.89
14840.0,1.89
14880.0,1.9
14920.0,1.9
14960.0,1.91
15000.0,1.91
15040.0,1.91
15080.0,1.91
15120.0,1.92
15160.0,1.92
15200.0,1.92
15240.0,1.92
15280.0,1.93
15320.0,1.93
15360.0,1.93
15400.0,1.93
15440.0,1.93
15480.0,1.93
15520.0,1.93
15560.0,1.94
15600.0,1.94
15640.0,1.94
15680.0,1.94
15720.0,1.94
15760.0,1.94
15800.0,1.95
15840.0,1.95
15880.0,1.95
15920.0,1.95
15960.0,1.95
16000.0,1.94
16040.0,1.84
16080.0,1.75
16120.0,1.66
16160.0,1.58
16200.0,1.5
16240.0,1.43
16280.0,1.35
16320.0,1.29
16360.0,1.22
16400.0,1.16
16440.0,1.1
16480.0,1.04
16520.0,0.99
16560.0,0.94
16600.0,0.89
16640.0,0.84
16680.0,0.8
16720.0,0.75
16760.0,0.71
16800.0,0.67
16840.0,0.64
16880.0,0.61
16920.0,0.57
16960.0,0.54
17000.0,0.51
17040.0,0.48
17080.0,0.46
17120.0,0.43
17160.0,0.4
17200.0,0.38
17240.0,0.36
17280.0,0.34
17320.0,0.32
17360.0,0.3
17400.0,0.28
17440.0,0.26
17480.0,0.24
17520.0,0.23
17560.0,0.21
17600.0,0.2
17640.0,0.18
17680.0,0.17
17720.0,0.16
17760.0,0.15
17800.0,0.14
17840.0,0.12
17880.0,0.11
17920.0,0.11
17960.0,0.1
18000.0,0.09
18040.0,0.08
18080.0,0.07
18120.0,0.06
18160.0,0.06
18200.0,0.04
18240.0,0.04
18280.0,0.03
18320.0,0.03
18360.0,0.02
18400.0,0.01
18440.0,0.01
18480.0,0.01
18520.0,0.0
18560.0,0.0
18600.0,0.0
18640.0,0.0
18680.0,0.0
18720.0,0.0
18760.0,0.0
18800.0,0.0
18840.0,0.0
18880.0,0.0
18920.0,0.0
18960.0,0.0
19000.0,0.0
19040.0,0.0
19080.0,0.0
19120.0,0.0
19160.0,0.0
19200.0,0.0
19240.0,0.0
19280.0,0.0
19320.0,0.0
19360.0,0.0
19400.0,0.0
19440.0,0.0
19480.0,0.0
19520.0,0.0
19560.0,0.0
19600.0,0.0
19640.0,0.0
19680.0,0.0
19720.0,0.0
19760.0,0.0
19800.0,0.0
19840.0,0.0
19880.0,0.0
19920.0,0.0
19960.0,0.0
20000.0,0.0
20040.0,0.02
20080.0,0.12
20120.0,0.2
20160.0,0.29
20200.0,0.36
20240.0,0.44
20280.0,0.51
20320.0,0.58
20360.0,0.64
20400.0,0.7
20440.0,0.76
20480.0,0.82
20520.0,0.88
20560.0,0.93
20600.0,0.98
20640.0,1.02
20680.0,1.06
20720.0,1.11
20760.0,1.15
20800.0,1.19
20840.0,1.22
20880.0,1.27
20920.0,1.3
20960.0,1.32
21000.0,1.35
21040.0,1.38
21080.0,1.41
21120.0,1.43
21160.0,1.46
21200.0,1.48
21240.0,1.5
21280.0,1.53
21320.0,1.55
21360.0,1.56
21400.0,1.58
21440.0,1.6
21480.0,1.61
21520.0,1.64
21560.0,1.65
21600.0,1.67
21640.0,1.68
21680.0,1.69
21720.0,1.7
21760.0,1.72
21800.0,1.73
21840.0,1.74
21880.0,1.75
21920.0,1.76
21960.0,1.77
22000.0,1.78
22040.0,1.79
22080.0,1.79
22120.0,1.8
22160.0,1.81
22200.0,1.82
22240.0,1.83
22280.0,1.83
22320.0,1.84
22360.0,1.84
22400.0,1.85
22440.0,1.85
22480.0,1.86
22520.0,1.86
22560.0,1.87
22600.0,1.87
22640.0,1.88
22680.0,1.88
22720.0,1.88
22760.0,1.89
22800.0,1.89
22840.0,1.9
22880.0,1.9
22920.0,1.9
22960.0,1.91
23000.0,1.91
23040.0,1.91
23080.0,1.91
23120.0,1.92
23160.0,1.92
23200.0,1.92
23240.0,1.93
23280.0,1.93
23320.0,1.92
23360.0,1.93
23400.0,1.93
23440.0,1.93
23480.0,1.93
23520.0,1.94
23560.0,1.94
23600.0,1.94
23640.0,1.94
23680.0,1.94
23720.0,1.94
23760.0,1.95
23800.0,1.95
23840.0,1.95
23880.0,1.94
23920.0,1.95
23960.0,1.95
24000.0,1.94
24040.0,1.84
24080.0,1.75
24120.0,1.67
24160.0,1.58
24200.0,1.5
24240.0,1.43
24280.0,1.36
24320.0,1.29
24360.0,1.22
24400.0,1.16
24440.0,1.1
24480.0,1.04
24520.0,0.99
24560.0,0.94
24600.0,0.89
24640.0,0.84
24680.0,0.79
24720.0,0.76
24760.0,0.71
24800.0,0.67
24840.0,0.64
24880.0,0.6
24920.0,0.57
24960.0,0.54
25000.0,0.51
25040.0,0.48
25080.0,0.45
25120.0,0.43
25160.0,0.4
25200.0,0.38
25240.0,0.36
25280.0,0.34
25320.0,0.32
25360.0,0.3
25400.0,0.28
25440.0,0.27
25480.0,0.25
25520.0,0.23
25560.0,0.22
25600.0,0.2
25640.0,0.19
25680.0,0.17
25720.0,0.16
25760.0,0.15
25800.0,0.14
25840.0,0.13
25880.0,0.12
25920.0,0.1
25960.0,0.1
26000.0,0.09
26040.0,0.08
26080.0,0.07
26120.0,0.06
26160.0,0.06
26200.0,0.05
26240.0,0.04
26280.0,0.04
26320.0,0.03
26360.0,0.02
26400.0,0.02
26440.0,0.01
26480.0,0.01
26520.0,0.0
26560.0,0.0
26600.0,0.0
26640.0,0.0
26680.0,0.0
26720.0,0.0
26760.0,0.0
26800.0,0.0
26840.0,0.0
26880.0,0.0
26920.0,0.0
26960.0,0.0
27000.0,0.0
27040.0,0.0
27080.0,0.0
27120.0,0.0
27160.0,0.0
27200.0,0.0
27240.0,0.0
27280.0,0.0
27320.0,0.0
27360.0,0.0
27400.0,0.0
27440.0,0.0
27480.0,0.0
27520.0,0.0
27560.0,0.0
27600.0,0.0
27640.0,0.0
27680.0,0.0
27720.0,0.0
27760.0,0.0
27800.0,0.0
27840.0,0.0
27880.0,0.0
27920.0,0.0
27960.0,0.0
28000.0,0.0
28040.0,0.02
28080.0,0.12
28120.0,0.2
28160.0,0.28
28200.0,0.36
28240.0,0.44
28280.0,0.51
28320.0,0.58
28360.0,0.64
28400.0,0.71
28440.0,0.76
28480.0,0.82
28520.0,0.88
28560.0,0.93
28600.0,0.97
28640.0,1.03
28680.0,1.07
28720.0,1.11
28760.0,1.15
28800.0,1.19
28840.0,1.22
28880.0,1.26
28920.0,1.29
28960.0,1.33
29000.0,1.36
29040.0,1.38
29080.0,1.41
29120.0,1.44
29160.0,1.46
29200.0,1.48
29240.0,1.51
29280.0,1.53
29320.0,1.55
29360.0,1.56
29400.0,1.59
29440.0,1.6
29480.0,1.62
29520.0,1.64
29560.0,1.65
29600.0,1.67
29640.0,1.68
29680.0,1.69
29720.0,1.71
29760.0,1.72
29800.0,1.73
29840.0,1.74
29880.0,1.75
29920.0,1.76
29960.0,1.77
30000.0,1.79
30040.0,1.79
30080.0,1.8
30120.0,1.81
30160.0,1.81
30200.0,1.82
30240.0,1.82
30280.0,1.83
30320.0,1.84
30360.0,1.84
30400.0,1.85
30440.0,1.86
30480.0,1.86
30520.0,1.87
30560.0,1.87
30600.0,1.88
30640.0,1.88
30680.0,1.89
30720.0,1.88
30760.0,1.89
30800.0,1.89
30840.0,1.9
30880.0,1.9
30920.0,1.9
30960.0,1.91
31000.0,1.91
31040.0,1.91
31080.0,1.92
31120.0,1.92
31160.0,1.92
31200.0,1.92
31240.0,1.93
31280.0,1.92
31320.0,1.93
31360.0,1.93
31400.0,1.93
31440.0,1.94
31480.0,1.93
31520.0,1.94
31560.0,1.94
31600.0,1.94
31640.0,1.94
31680.0,1.94
31720.0,1.94
31760.0,1.94
31800.0,1.95
31840.0,1.95
31880.0,1.95
31920.0,1.95
31960.0,1.95
32000.0,1.94
32040.0,1.84
32080.0,1.75
32120.0,1.66
32160.0,1.58
32200.0,1.5
32240.0,1.43
32280.0,1.36
32320.0,1.29
32360.0,1.22
32400.0,1.16
32440.0,1.1
32480.0,1.04
32520.0,0.99
32560.0,0.94
32600.0,0.89
32640.0,0.84
32680.0,0.8
32720.0,0.75
32760.0,0.71
32800.0,0.67
32840.0,0.64
32880.0,0.61
32920.0,0.57
32960.0,0.54
33000.0,0.51
33040.0,0.49
33080.0,0.45
33120.0,0.43
33160.0,0.4
33200.0,0.38
33240.0,0.36
33280.0,0.34
33320.0,0.32
33360.0,0.3
33400.0,0.28
33440.0,0.26
33480.0,0.25
33520.0,0.23
33560.0,0.22
33600.0,0.2
33640.0,0.19
33680.0,0.17
33720.0,0.16
33760.0,0.15
33800.0,0.14
33840.0,0.13
33880.0,0.12
33920.0,0.1
33960.0,0.1
34000.0,0.09
34040.0,0.08
34080.0,0.07
34120.0,0.06
34160.0,0.06
34200.0,0.05
34240.0,0.04
34280.0,0.04
34320.0,0.03
34360.0,0.02
34400.0,0.01
34440.0,0.01
34480.0,0.01
34520.0,0.0
34560.0,0.0
34600.0,0.0
34640.0,0.0
34680.0,0.0
34720.0,0.0
34760.0,0.0
34800.0,0.0
34840.0,0.0
34880.0,0.0
34920.0,0.0
34960.0,0.0
35000.0,0.0
35040.0,0.0
35080.0,0.0
35120.0,0.0
35160.0,0.0
35200.0,0.0
35240.0,0.0
35280.0,0.0
35320.0,0.0
35360.0,0.0
35400.0,0.0
35440.0,0.0
35480.0,0.0
35520.0,0.0
35560.0,0.0
35600.0,0.0
35640.0,0.0
35680.0,0.0
35720.0,0.0
35760.0,0.0
35800.0,0.0
35840.0,0.0
35880.0,0.0
35920.0,0.0
35960.0,0.0
36000.0,0.0
36040.0,0.02
36080.0,0.12
36120.0,0.2
36160.0,0.28
36200.0,0.36
36240.0,0.44
36280.0,0.5
36320.0,0.58
36360.0,0.64
36400.0,0.7
36440.0,0.76
36480.0,0.82
36520.0,0.88
36560.0,0.93
36600.0,0.98
36640.0,1.02
36680.0,1.06
36720.0,1.11
36760.0,1.15
36800.0,1.19
36840.0,1.22
36880.0,1.26
36920.0,1.3
36960.0,1.33
37000.0,1.35
37040.0,1.38
37080.0,1.41
37120.0,1.44
37160.0,1.46
37200.0,1.48
37240.0,1.51
37280.0,1.53
37320.0,1.55
37360.0,1.57
37400.0,1.59
37440.0,1.6
37480.0,1.62
37520.0,1.64
37560.0,1.65
37600.0,1.67
37640.0,1.69
37680.0,1.69
37720.0,1.71
37760.0,1.72
37800.0,1.73
37840.0,1.74
37880.0,1.75
37920.0,1.76
37960.0,1.77
38000.0,1.77
38040.0,1.79
38080.0,1.79
38120.0,1.8
38160.0,1.81
38200.0,1.82
38240.0,1.82
38280.0,1.83
38320.0,1.83
38360.0,1.84
38400.0,1.85
38440.0,1.85
38480.0,1.86
38520.0,1.86
38560.0,1.87
38600.0,1.87
38640.0,1.87
38680.0,1.88
38720.0,1.88
38760.0,1.89
38800.0,1.89
38840.0,1.9
38880.0,1.9
38920.0,1.9
38960.0,1.91
39000.0,1.91
39040.0,1.91
39080.0,1.91
39120.0,1.92
39160.0,1.92
39200.0,1.92
39240.0,1.92
39280.0,1.93
39320.0,1.93
39360.0,1.92
39400.0,1.93
39440.0,1.93
39480.0,1.93
39520.0,1.93
39560.0,1.93
39600.0,1.94
39640.0,1.94
39680.0,1.94
39720.0,1.94
39760.0,1.95
39800.0,1.95
39840.0,1.95
39880.0,1.95
39920.0,1.95
39960.0,1.95
